Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,The Avengers,Iron Man 3,Thor: The Dark World,Captain America: The Winter Soldier,Guardians of the Galaxy,Avengers: Age of Ultron,Ant-Man,Captain America: Civil War,Doctor Strange,Guardians of the Galaxy Vol. 2,Spider-Man: Homecoming,Thor: Ragnarok,Black Panther,Avengers: Infinity War,Ant-Man and the Wasp,Captain Marvel,Avengers: End Game,Spider-Man: Far From Home,Black Widow,Shang-Chi and the Legend of the Ten Rings,Eternals,Spider-Man: No Way Home,character_name
,,16:30,,,,,,,,,,,,,,,,,,,,,,,,,Justin Hammer
,,9:15,,,24:45:00,,,24:45:00,,18:00,,12:00,,,,:15,,5:00,,:30,16:00,,65:30:00,,,,Black Widow
,,4:15,,,,6:15,,,,,,,,,,,,,,,,,,,,,Happy Hogan
,,2:15,,,,,,:30,,,,,,,,,,,,,,,,,,,Senator Stern
,,2:00,,4:00,,,,,,,1:00,1:45,,,,,,,,,3:00,,,,,,Howard Stark
,,1:15,,,,,,,,,,,,,,,,,,,,,,,,,Anton Vanko
,,x:00,,,,,,,,,,8:30,,,76:15:00,,,7:15,,,3:00,67:30:00,,,,83:45:00,Peter Parker
,,,43:15:00,,18:00,,35:00:00,,,13:15,,,:45,,,58:45:00,,15:15,,,21:15,,,,,,Thor
,,,21:15,,21:30,,17:30,,,,,,,,,13:30,,3:45,,,1:00,,,,,,Loki
,,,21:00,,,,25:00:00,,,,,,,,,,,,,,:15,,,,,,Dr. Jane Foster
,,,13:45,,3:00,,6:30,,,1:00,,,,,,,,,,,,,,,,,Dr. Erik Selvig
,,,11:15,,,,9:00,,,,,,,,,3:45,,,,,,,,,,,Odin
,,,8:30,,,,8:45,,,,,,,,,,,,,,,,,,,,Darcy Lewis
,,,8:15,,,,3:15,,,,,,,,,,,,,,,,,,,,Sif
,,,7:00,,,,2:45,,,,,,,,,:15,,,,,,,,,,,Volstagg
,,,7:00,,,,2:00,,,,,,,,,:15,,,,,,,,,,,Fandral
,,,6:30,,,,1:00,,,,,,,,,1:00,,,,,,,,,,,Hogun
,,,4:15,,,,4:15,,,:30,,,,,,4:30,,:45,,,,,,,,,Heimdall
,,,3:30,,,,,,,,,,,,,,,,,,,,,,,,Laufey
,,,2:00,,,,4:00,,,,,,,,,,,,,,2:45,,,,,,Frigga
,,,1:00,,:30,,,4:00,,,,,,,,,,,,,1:00,,,,,,Agent Jasper Sitwell
,,,:30,,12:45,,,,,15:00,,4:15,,,,,,,,,18:00,,,,,,Hawkeye
,,,,56:30:00,28:15:00,,,59:00:00,,21:45,:15,38:15:00,,,1:00,,,7:15,,:30,30:45:00,,,,,,Captain America
,,,,17:15,,,,,,,,,,,,,,,,,,,,,,,Agent Peggy Carter
,,,,15:30,,,,,,,,,,,,,,,,,,,,,,,Red Skull
,,,,9:15,,,,,,,,,,,,,,,,,,,,,,,Col. Chester Phillips
,,,,8:30,,,,,,,,,,,,,,,,,,,,,,,Dr. Abraham Erskine
,,,,8:15,,,,2:15,,,,,,,,,,,,,,,,,,,Dr. Arnim Zola
,,,,8:00,,,,,,,,,,,,,,,,,,,,,,,"Sgt. James ""Bucky"" Barnes"
,,,,2:15,,,,,,,,,,,,,,,,,,,,,,,Heinz Kruger
,,,,1:45,,,,,,,,,,,,,,,,,,,,,,,"Sgt. Timothy ""Dum Dum"" Dugan"
,,,,1:45,,,,,,,,,,,,,,,,,,,,,,,Pvt. Gabe Jones
,,,,1:30,,,,,,,,,,,,,,,,,,,,,,,Pvt. Jim Morita
,,,,1:30,,,,,,,,,,,,,,,,,,,,,,,Pvt. James Montgomery Fallsworth
,,,,1:30,,,,,,,,,,,,,,,,,,,,,,,Pvt. Jacques Dernier
,,,,,5:30,,,3:15,,,,,,,,,,,,,,,,,,,Agent Maria Hill
,,,,,2:30,,,,:45,,,,,,,,,,,,,,,,,,The Other
,,,,,1:45,,,,,,,,,,,,,,,,,,,,,,Gen. Georgi Luchkov
,,,,,1:00,,,,,,,,,,,,,,,,,,,,,,Councilwoman Malick
,,,,,1:00,,,:15,,,,,,,,,,,,,,,,,,,Councilwoman Hawley
,,,,,:15,,,,1:00,:15,,,,,,,,31:00:00,,,12:15,,,,,,Thanos
,,,,,,12:00,,,,,,,,,,,,,,,,,,,,,Aldrich Killian
,,,,,,9:45,,,,2:30,,7:15,,,,,,2:45,,:15,,,,,,,Iron Patriot
,,,,,,8:45,,,,,,,,,,,,,,,,,,,,,Dr. Maya Hansen
,,,,,,7:30,,,,,,,,,,,,,,,,,,6:15,,,"""The Mandarin"""
,,,,,,6:15,,,,,,,,,,,,,,,:15,,,,,,Harley Keener
,,,,,,6:00,,,,,,,,,,,,,,,,,,,,,Eric Savin
,,,,,,3:00,,,,,,,,,,,,,,,,,,,,,Ellen Brandt
,,,,,,2:00,,,,,,,,,,,,,,,,,,,,,President Matthew Ellis
,,,,,,1:00,,,,,,,,,,,,,,,,,,,,,Vice-President Rodriguez
,,,,,,,,,,,,,,,,,,,,,,,,,1:00,,Ben
,,,,,,,,1:15,,:30,,,,,,,,,,,,,,,,,Dr. List
,,,,,,,8:45,,,,,,,,,,,,,,,,,,,,Malekith
,,,,,,,6:15,,,,,,,,,,,,,,,,,,,,Algrim
,,,,,,,6:00,,,,,,,,,,,,,,,,,,,,Ian Boothby
,,,,,,,2:45,,,,,,,,,,,,,,,,,,,,Richard
,,,,,,,1:15,,2:30,,,,,,,,,,,,,,,,,,The Collector
,,,,,,,1:00,,1:30,,,,,,,,,,,,,,,,,,Carina
,,,,,,,,14:15,,:45,2:45,10:15,,,,,,2:45,,,4:30,,,,,,Falcon
,,,,,,,,13:15,,,:15,22:00,,,,,:45,2:00,,,2:15,,,,,,Winter Soldier
,,,,,,,,12:45,,,,,,,,,,,,,:45,,,,,,Alexander Pierce
,,,,,,,,6:15,,,,2:15,,,,,,,,,,,,,,,Brock Rumlow
,,,,,,,,2:30,,,,,,,,,,,,,,,,,,,Agent Sharon Carter
,,,,,,,,2:15,,:15,:45,,,,,,,,,,1:00,,,,,,Peggy Carter
,,,,,,,,2:00,,,,,,,,,,,,,,,,,,,Jack Rollins
,,,,,,,,1:45,,,,,,,,,,,,,,,,,,,Georges Batroc
,,,,,,,,1:15,,1:30,,,,,,,,,,,,,,,,,Baron Wolfgang von Strucker
,,,,,,,,1:00,,,,,,,,,,,,,,,,,,,Councilman Singh
,,,,,,,,1:00,,,,,,,,,,,,,,,,,,,Councilman Rockwell
,,,,,,,,1:00,,,,,,,,,,,,,,,,,,,Councilman Yen
,,,,,,,,1:00,,:30,,,,,,,,,,,,,,,,,Cameron Klein
,,,,,,,,:15,,12:00,,10:45,,,,,,9:00,,,2:15,,,,,,Wanda Maximoff
,,,,,,,,:15,,10:00,,,,,,,,,,,,,,,,,Pietro Maximoff
,,,,,,,,,46:45:00,,,,,35:45:00,,,,10:15,,,3:00,,,,,,Star-Lord
,,,,,,,,,31:00:00,,,,,24:00:00,,,,20:00,,,4:45,,,,,,Gamora
,,,,,,,,,19:30,,,,,19:45,,,,6:15,,,8:15,,,,,,Rocket
,,,,,,,,,18:00,,,,,16:30,,,,5:45,,,1:00,,,,,,Drax
,,,,,,,,,14:45,,,,,,,,,,,,,,,,,,Groot
,,,,,,,,,7:45,,,,,,,,,,,1:30,,,,,,,Ronan
,,,,,,,,,6:00,,,,,16:15,,,,,,,,,,,,,Yondu Udonta
,,,,,,,,,4:30,,,,,10:30,,,,3:15,,,16:00,,,,,,Nebula
,,,,,,,,,3:00,,,,,,,,,,,,,,,,,,Rhomann Dey
,,,,,,,,,2:30,,,,,,,,,,,,,,,,,,Nova Prime Irani Rael
,,,,,,,,,2:15,,,,,,,,,,,3:15,,,,,,,Korath
,,,,,,,,,1:45,,,,,4:45,,,,,,,,,,,,,Kraglin Obfonteri
,,,,,,,,,1:30,,,,,1:30,,,,,,,,,,,,,Meredith Quill
,,,,,,,,,:45,,,,,14:00,,,,4:00,,,1:00,,,,,,Groot II
,,,,,,,,,:45,,,,,,,,,,,,,,,,,,Denaarian Saal
,,,,,,,,,,,,,,,,,,,,,:15,,,,,,Edwin Jarvis
,,,,,,,,,,,,,,,,,,,,,,,,,,1:00,Daredevil
,,,,,,,,,,17:00,,,,,,,,,,,,,,,,,Ultron
,,,,,,,,,,6:15,,7:15,,,,,,10:00,,,,,,,,,Vision
,,,,,,,,,,3:45,,,,,,,,,,,:45,,,,,,Laura Barton
,,,,,,,,,,3:15,,,,,,,,,,,,,,,,,Dr. Helen Cho
,,,,,,,,,,3:00,,,,,,,,:45,,,:15,,,,,,Maria Hill
,,,,,,,,,,3:00,,,,,,,,1:00,,,:15,:30,,,,,Nick Fury
,,,,,,,,,,2:45,,,,,,,7:15,,,,,,,,,,Ulysses Klauë
,,,,,,,,,,,50:30:00,5:30,,,,,,,42:30:00,,13:15,,,,,,Scott Lang
,,,,,,,,,,,14:30,,,,,,,,,,,,,,,,Darren Cross
,,,,,,,,,,,,2:45,,,,,,1:00,,,:15,,,,,,Secretary Thaddeus Ross
,,,,,,,,,,,24:45:00,,,,,,,,23:45,,:30,,,,,,Dr. Hank Pym
,,,,,,,,,,,15:45,,,,,,,,35:00:00,,1:15,,,,,,Hope van Dyne
,,,,,,,,,,,7:00,,,,,,,,8:30,,,,,,,,Luis
,,,,,,,,,,,4:30,,,,,,,,7:00,,1:00,,,,,,Cassie Lang
,,,,,,,,,,,4:30,,,,,,,,1:30,,,,,,,,Officer Jim Paxton
,,,,,,,,,,,2:45,,,,,,,,2:15,,,,,,,,Dave
,,,,,,,,,,,2:45,,,,,,,,2:15,,,,,,,,Kurt
,,,,,,,,,,,2:15,,,,,,,,1:45,,,,,,,,Maggie Lang
,,,,,,,,,,,2:15,,,,,,,,,,,,,,,,Mitchell Carson
,,,,,,,,,,,1:00,,,,,,,,,,,,,,,,Gale
,,,,,,,,,,,:30,,,,,,,,9:15,,:15,,,,,,Janet van Dyne
,,,,,,,,,,,,11:30,,,,,,,,,,,,,,,Black Panther
,,,,,,,,,,,,10:30,,,,,,,,,,,,,,,Helmut Zemo
,,,,,,,,,,,,5:00,,,,,,,,,,,,,,,Sharon Carter
,,,,,,,,,,,,2:15,,,,,,,,,,,,,,,Maria Stark
,,,,,,,,,,,,1:30,,,,,5:00,,,,,,,,,,King T'Chaka
,,,,,,,,,,,,1:15,,,,,,,,,,,,,,,Everett Ross
,,,,,,,,,,,,1:00,,,4:00,,,,,,:15,3:30,,,,9:30,May Parker
,,,,,,,,,,,,:30,,,,,2:15,:15,,,,,,,,,Ayo
,,,,,,,,,,,,,73:30:00,,,3:00,,11:15,,,1:15,,,,,12:30,Doctor Strange
,,,,,,,,,,,,,17:45,,,,,,,,,,,,,,Karl Mordo
,,,,,,,,,,,,,17:15,,,,,,,,3:30,,,,,,The Ancient One
,,,,,,,,,,,,,12:45,,,,,,,,,,,,,,Kaecilius
,,,,,,,,,,,,,12:45,,,,,,,,,,,,,,Dr. Christine Palmer
,,,,,,,,,,,,,7:00,,,,,3:30,,,:45,,,2:00,,:45,Wong
,,,,,,,,,,,,,3:45,,,,,,,,,,,,,,Lucian
,,,,,,,,,,,,,2:45,,,,,,,,,,,,,,Jonathan Pangborn
,,,,,,,,,,,,,2:00,,,,,,,,,,,,,,Dormammu
,,,,,,,,,,,,,1:30,,,,,,,,,,,,,,Dr. Nicodemus West
,,,,,,,,,,,,,,17:00,,,,,,,,,,,,,Ego
,,,,,,,,,,,,,,11:00,,,,5:45,,,:45,,,,,,Mantis
,,,,,,,,,,,,,,4:15,,,,,,,,,,,,,Taserface
,,,,,,,,,,,,,,3:30,,,,,,,,,,,,,Ayesha
,,,,,,,,,,,,,,1:30,,,,,,,,,,,,,Stakar Ogord
,,,,,,,,,,,,,,1:00,,,,,,,,,,,,,Martinex T'Naga
,,,,,,,,,,,,,,:15,,,,,,,,,,,,,Aleta Ogord
,,,,,,,,,,,,,,:15,,,,,,,,,,,,,Charlie-27
,,,,,,,,,,,,,,x:00,,,,,,,,,,,,,Mainframe
,,,,,,,,,,,,,,x:00,,,,,,,,,,,,,Krugarr
,,,,,,,,,,,,,,,19:00,,,,,,,,,,,,Vulture
,,,,,,,,,,,,,,,13:45,,,:15,,,:15,14:30,,,,18:30,Ned Leeds
,,,,,,,,,,,,,,,9:45,,,,,,,,,,,,Liz Toomes
,,,,,,,,,,,,,,,4:30,,,,,,,,,,,,The Shocker
,,,,,,,,,,,,,,,3:45,,,,,,,,,,,,Tinkerer
,,,,,,,,,,,,,,,2:45,,,,,,,19:30,,,,,Michelle Jones
,,,,,,,,,,,,,,,2:30,,,,,,,,,,,,Aaron Davis
,,,,,,,,,,,,,,,2:30,,,,,,,,,,,,The Shocker
,,,,,,,,,,,,,,,2:15,,,,,,,5:45,,,,:45,Flash Thompson
,,,,,,,,,,,,,,,1:15,,,,,,,,,,,,Mac Gargan
,,,,,,,,,,,,,,,1:15,,,,,,,9:15,,,,:15,Betty Brant
,,,,,,,,,,,,,,,1:00,,,,,,,,,,,,Ann Marie Hoag
,,,,,,,,,,,,,,,1:00,,,,,,,:45,,,,,Jason Ionello
,,,,,,,,,,,,,,,,14:15,,,,,2:15,,,,,,Valkyrie
,,,,,,,,,,,,,,,,12:30,,,,,,,,,,,Hela
,,,,,,,,,,,,,,,,6:45,,,,,,,,,,,Skurge
,,,,,,,,,,,,,,,,5:30,,,,,,,,,,,The Grandmaster
,,,,,,,,,,,,,,,,4:00,,,,,1:00,,,,,,Korg
,,,,,,,,,,,,,,,,3:00,,,,,,,,,,,Surtur
,,,,,,,,,,,,,,,,2:00,,,,,,,,,,,Topaz
,,,,,,,,,,,,,,,,1:45,,,,,,,,,,,Fenriswolf
,,,,,,,,,,,,,,,,1:30,,,,,:30,,,,,,Miek
,,,,,,,,,,,,,,,,,48:00:00,3:30,,,1:45,,,,,,Black Panther
,,,,,,,,,,,,,,,,,22:15,,,,,,,,,,"Erik ""Killmonger"" Stevens"
,,,,,,,,,,,,,,,,,16:45,,,,,,,,,,Nakia
,,,,,,,,,,,,,,,,,14:30,:45,,,1:15,,,,,,Princess Shuri
,,,,,,,,,,,,,,,,,12:45,2:45,,,1:45,,,,,,Okoye
,,,,,,,,,,,,,,,,,12:00,,,,,,,,,,Agent Everett Ross
,,,,,,,,,,,,,,,,,8:15,,,,,,,,,,Zuri
,,,,,,,,,,,,,,,,,7:15,,,,,,,,,,W'Kabi
,,,,,,,,,,,,,,,,,6:45,,,,,,,,,,Ramonda
,,,,,,,,,,,,,,,,,5:45,1:00,,,:15,,,,,,M'Baku
,,,,,,,,,,,,,,,,,4:15,,,,,,,,,,N'Jobu
,,,,,,,,,,,,,,,,,1:00,,,,,,,,,,Xoliswa
,,,,,,,,,,,,,,,,,,4:30,,,1:00,,,,,,Ebony Maw
,,,,,,,,,,,,,,,,,,4:00,,,:30,,,,,,Proxima Midnight
,,,,,,,,,,,,,,,,,,3:30,,,:30,,,,,,Cull Obsidian
,,,,,,,,,,,,,,,,,,3:15,,,:30,,,,,,Corvus Glaive
,,,,,,,,,,,,,,,,,,2:45,,,,,,,,,Eitri
,,,,,,,,,,,,,,,,,,1:45,,,1:00,,,,,,The Stonekeeper
,,,,,,,,,,,,,,,,,,:45,,,,,,,,,The Collector
,,,,,,,,,,,,,,,,,,x:00,,,,,,,,,Cindy Moon
,,,,,,,,,,,,,,,,,,x:00,,,,,,,,,Sally Avril
,,,,,,,,,,,,,,,,,,,12:45,,,,,,,,Ghost
,,,,,,,,,,,,,,,,,,,8:30,,,,,,,,Dr. Bill Foster
,,,,,,,,,,,,,,,,,,,7:00,,,,,,,,Sonny Burch
,,,,,,,,,,,,,,,,,,,5:30,,,,,,,,Agent James Woo
,,,,,,,,,,,,,,,,,,,3:00,,,,,,,,Uzman
,,,,,,,,,,,,,,,,,,,1:45,,,,,,,,Anitolov
,,,,,,,,,,,,,,,,,,,:30,,,,,,,,Elihas Starr
,,,,,,,,,,,,,,,,,,,,65:00:00,6:00,,,:15,,,Carol Danvers
,,,,,,,,,,,,,,,,,,,,22:30,,,,,,,Agent Nick Fury
,,,,,,,,,,,,,,,,,,,,13:45,,8:45,,,,,Talos
,,,,,,,,,,,,,,,,,,,,11:45,,,,,,,Yon-Rogg
,,,,,,,,,,,,,,,,,,,,11:00,,,,,,,Maria Rambeau
,,,,,,,,,,,,,,,,,,,,4:45,,,,,,,Monica Rambeau
,,,,,,,,,,,,,,,,,,,,4:45,,,,,,,Goose
,,,,,,,,,,,,,,,,,,,,3:30,,,,,,,Dr. Wendy Lawson
,,,,,,,,,,,,,,,,,,,,3:30,,,,,,,Kree Supreme Intelligence
,,,,,,,,,,,,,,,,,,,,3:30,,,,,,,Minn-Erva
,,,,,,,,,,,,,,,,,,,,2:30,,,,,,,Att-Lass
,,,,,,,,,,,,,,,,,,,,2:15,,,,,,,Bron-Char
,,,,,,,,,,,,,,,,,,,,2:00,,3:30,,,,,Soren
,,,,,,,,,,,,,,,,,,,,,9:15,,,,,,War Machine
,,,,,,,,,,,,,,,,,,,,,3:15,,,,,,Morgan Stark
,,,,,,,,,,,,,,,,,,,,,1:30,,,,,,Lila Barton
,,,,,,,,,,,,,,,,,,,,,1:15,,,,,,Akihiko
,,,,,,,,,,,,,,,,,,,,,:45,,,,,,Agent Brock Rumlow
,,,,,,,,,,,,,,,,,,,,,:45,,,,,,Cooper Barton
,,,,,,,,,,,,,,,,,,,,,:45,,,,,,Nathaniel Barton
,,,,,,,,,,,,,,,,,,,,,:15,,,,,,Queen Ramonda
,,,,,,,,,,,,,,,,,,,,,,21:15,,,,,Mysterio
,,,,,,,,,,,,,,,,,,,,,,5:45,,,,,Brad Davis
,,,,,,,,,,,,,,,,,,,,,,4:15,,,,:30,Julius Dell
,,,,,,,,,,,,,,,,,,,,,,3:30,,,,,Josh
,,,,,,,,,,,,,,,,,,,,,,3:15,,,,,Zoha
,,,,,,,,,,,,,,,,,,,,,,3:00,,,,,Zach
,,,,,,,,,,,,,,,,,,,,,,3:00,,,,,Tyler
,,,,,,,,,,,,,,,,,,,,,,2:45,,,,,Sebastian
,,,,,,,,,,,,,,,,,,,,,,2:45,,,,,Yasmin
,,,,,,,,,,,,,,,,,,,,,,1:30,,,,,Dimitri
,,,,,,,,,,,,,,,,,,,,,,:15,,,,1:45,J. Jonah Jameson
,,,,,,,,,,,,,,,,,,,,,,,:45,,,,Thaddeus Ross
,,,,,,,,,,,,,,,,,,,,,,,,63:00:00,,,Xu Shang-Chi
,,,,,,,,,,,,,,,,,,,,,,,,31:15:00,,,Katy Chen
,,,,,,,,,,,,,,,,,,,,,,,,3:30,,,Soo
,,,,,,,,,,,,,,,,,,,,,,,,27:00:00,,,Xu Wenwu
,,,,,,,,,,,,,,,,,,,,,,,41:00:00,,,,Yelena Belova
,,,,,,,,,,,,,,,,,,,,,,,24:15:00,,,,Alexei Shostakov
,,,,,,,,,,,,,,,,,,,,,,,20:45,,,,Melina Vostkoff
,,,,,,,,,,,,,,,,,,,,,,,10:15,,,,General Viktor Dreykov
,,,,,,,,,,,,,,,,,,,,,,,9:30,,,,Taskmaster
,,,,,,,,,,,,,,,,,,,,,,,3:45,,,,Rick Mason
,,,,,,,,,,,,,,,,,,,,,,,1:30,,,,Lerato
,,,,,,,,,,,,,,,,,,,,,,,1:30,,,,Ingrid
,,,,,,,,,,,,,,,,,,,,,,,1:15,,,,Oksana
,,,,,,,,,,,,,,,,,,,,,,,1:00,,,,Contessa Valentina de Fontaine
,,,,,,,,,,,,,,,,,,,,,,,,22:00,,,Xu Xialing
,,,,,,,,,,,,,,,,,,,,,,,,7:45,,,Ying Nan
,,,,,,,,,,,,,,,,,,,,,,,,6:30,,,Ying Li
,,,,,,,,,,,,,,,,,,,,,,,,6:00,,,Razor Fist
,,,,,,,,,,,,,,,,,,,,,,,,5:15,,,Morris
,,,,,,,,,,,,,,,,,,,,,,,,4:15,,,The Great Protector
,,,,,,,,,,,,,,,,,,,,,,,,3:45,,,The Dweller in Darkness
,,,,,,,,,,,,,,,,,,,,,,,,2:30,,,John
,,,,,,,,,,,,,,,,,,,,,,,,2:30,,,Jon Jon
,,,,,,,,,,,,,,,,,,,,,,,,2:15,,,Death Dealer
,,,,,,,,,,,,,,,,,,,,,,,,1:45,,,Master Guang Bo
,,,,,,,,,,,,,,,,,,,,,,,,,46:15:00,,Sersi
,,,,,,,,,,,,,,,,,,,,,,,,,34:30:00,,Ikaris
,,,,,,,,,,,,,,,,,,,,,,,,,19:15,,Thena
,,,,,,,,,,,,,,,,,,,,,,,,,17:30,,Sprite
,,,,,,,,,,,,,,,,,,,,,,,,,15:15,,Kingo
,,,,,,,,,,,,,,,,,,,,,,,,,15:15,,Phastos
,,,,,,,,,,,,,,,,,,,,,,,,,11:15,,Druig
,,,,,,,,,,,,,,,,,,,,,,,,,10:30,,Ajak
,,,,,,,,,,,,,,,,,,,,,,,,,10:00,,Makkari
,,,,,,,,,,,,,,,,,,,,,,,,,9:15,,Gilgamesh
,,,,,,,,,,,,,,,,,,,,,,,,,8:45,,Dane Whitman
,,,,,,,,,,,,,,,,,,,,,,,,,7:00,,Kro
,,,,,,,,,,,,,,,,,,,,,,,,,6:00,,Karun
,,,,,,,,,,,,,,,,,,,,,,,,,3:00,,Tiamut
,,,,,,,,,,,,,,,,,,,,,,,,,2:00,,Jack
,,,,,,,,,,,,,,,,,,,,,,,,,1:45,,Arishem
,,,,,,,,,,,,,,,,,,,,,,,,,1:00,,Pip the Troll
,,,,,,,,,,,,,,,,,,,,,,,,,:45,,Starfox
,,,,,,,,,,,,,,,,,,,,,,,,,,27:15:00,"Michelle ""MJ"" Jones Watson"
,,,,,,,,,,,,,,,,,,,,,,,,,,9:15,Green Goblin
,,,,,,,,,,,,,,,,,,,,,,,,,,9:15,Doctor Octopus
,,,,,,,,,,,,,,,,,,,,,,,,,,7:15,Electro
,,,,,,,,,,,,,,,,,,,,,,,,,,3:30,Sandman
,,,,,,,,,,,,,,,,,,,,,,,,,,3:15,Lizard
,,,,,,,,,,,,,,,,,,,,,,,,,,1:30,Eddie Brock
