Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,The Avengers,Iron Man 3,Thor: The Dark World,Captain America: The Winter Soldier,Guardians of the Galaxy,Avengers: Age of Ultron,Ant-Man,Captain America: Civil War,Doctor Strange,Guardians of the Galaxy Vol. 2,Spider-Man: Homecoming,Thor: Ragnarok,Black Panther,Avengers: Infinity War,Ant-Man and the Wasp,Captain Marvel,Avengers: End Game,Spider-Man: Far From Home,Black Widow,Shang-Chi and the Legend of the Ten Rings,Eternals,Spider-Man: No Way Home,character_name,gender,race
,,,,,,,,,,,,,,,,,,4:30,,,1:00,,,,,,Ebony Maw,Male,Alien
,,,,,,,,,,,,,,,,,,4:00,,,:30,,,,,,Proxima Midnight,Female,Black
,,,,,,,,,,,,,,,,,,3:30,,,:30,,,,,,Cull Obsidian,Male,Alien
,,,,,,,,,,,,,,,,,,3:15,,,:30,,,,,,Corvus Glaive,Male,Alien
,,,,,,,,,,,,,,,,,,2:45,,,,,,,,,Eitri,Male,Dwarf
,,,,,,,,,,,,,,,,,,1:45,,,1:00,,,,,,The Stonekeeper,Female,Alien
,,,,,,,,,,,,,,,,,,:45,,,,,,,,,The Collector,Male,Alien
,,,,,,,,,,,,,,,,,,x:00,,,,,,,,,Cindy Moon,Female,Asian
,,,,,,,,,,,,,,,,,,x:00,,,,,,,,,Sally Avril,Female,Caucasian
,,,,,,,,,,,,,,,,,,,12:45,,,,,,,,Ghost,Male,Caucasian
,,,,,,,,,,,,,,,,,,,8:30,,,,,,,,Dr. Bill Foster,Male,Black
,,,,,,,,,,,,,,,,,,,7:00,,,,,,,,Sonny Burch,Male,Caucasian
,,,,,,,,,,,,,,,,,,,5:30,,,,,,,,Agent James Woo,Male,Asian
,,,,,,,,,,,,,,,,,,,3:00,,,,,,,,Uzman,Male,Middle Eastern
,,,,,,,,,,,,,,,,,,,1:45,,,,,,,,Anitolov,Male,Caucasian
,,,,,,,,,,,,,,,,,,,:30,,,,,,,,Elihas Starr,Male,Hispanic
,,,,,,,,,,,,,,,,,,,,65:00:00,6:00,,,:15,,,Vers,Female,Alien
,,,,,,,,,,,,,,,,,,,,22:30,,,,,,,Agent Nick Fury,Male,Black
,,,,,,,,,,,,,,,,,,,,13:45,,8:45,,,,,Talos,Male,Alien
,,,,,,,,,,,,,,,,,,,,11:45,,,,,,,Yon-Rogg,Male,Kree-Alien
,,,,,,,,,,,,,,,,,,,,11:00,,,,,,,Maria Rambeau,Female,Black
,,,,,,,,,,,,,,,,,,,,4:45,,,,,,,Monica Rambeau,Female,Black
,,,,,,,,,,,,,,,,,,,,4:45,,,,,,,Goose,Male,Alien
,,,,,,,,,,,,,,,,,,,,3:30,,,,,,,Dr. Wendy Lawson,Female,Caucasian
,,,,,,,,,,,,,,,,,,,,3:30,,,,,,,Kree Supreme Intelligence,Male,Alien
,,,,,,,,,,,,,,,,,,,,3:30,,,,,,,Minn-Erva,Female,Asian
,,,,,,,,,,,,,,,,,,,,2:30,,,,,,,Att-Lass,Male,Alien
,,,,,,,,,,,,,,,,,,,,2:15,,,,,,,Bron-Char,Male,Alien
,,,,,,,,,,,,,,,,,,,,2:00,,3:30,,,,,Soren,Male,Alien
,,,,,,,,,,,,,,,,,,,,,9:15,,,,,,War Machine,Male,Black
,,,,,,,,,,,,,,,,,,,,,3:15,,,,,,Morgan Stark,Male,Caucasian
,,,,,,,,,,,,,,,,,,,,,1:30,,,,,,Lila Barton,Female,Caucasian
,,,,,,,,,,,,,,,,,,,,,1:15,,,,,,Akihiko,Male,Asian
,,,,,,,,,,,,,,,,,,,,,:45,,,,,,Agent Brock Rumlow,Male,Caucasian
,,,,,,,,,,,,,,,,,,,,,:45,,,,,,Cooper Barton,Male,Caucasian
,,,,,,,,,,,,,,,,,,,,,:45,,,,,,Nathaniel Barton,Male,Caucasian
,,,,,,,,,,,,,,,,,,,,,:15,,,,,,Queen Ramonda,Female,Black
,,,,,,,,,,,,,,,,,,,,,,21:15,,,,,Mysterio,Male,Caucasian
,,,,,,,,,,,,,,,,,,,,,,5:45,,,,,Brad Davis,Male,Caucasian
,,,,,,,,,,,,,,,,,,,,,,4:15,,,,:30,Julius Dell,Male,Black
,,,,,,,,,,,,,,,,,,,,,,3:30,,,,,Josh,Male,Caucasian
,,,,,,,,,,,,,,,,,,,,,,3:15,,,,,Zoha,Female,Middle Eastern
,,,,,,,,,,,,,,,,,,,,,,3:00,,,,,Zach,Male,Caucasian
,,,,,,,,,,,,,,,,,,,,,,3:00,,,,,Tyler,Male,Black
,,,,,,,,,,,,,,,,,,,,,,2:45,,,,,Sebastian,Male,Caucasian
,,,,,,,,,,,,,,,,,,,,,,2:45,,,,,Yasmin,Female,Middle Eastern
,,,,,,,,,,,,,,,,,,,,,,1:30,,,,,Dimitri,Male,Hispanic
,,,,,,,,,,,,,,,,,,,,,,:15,,,,1:45,J. Jonah Jameson,Male,Caucasian
,,,,,,,,,,,,,,,,,,,,,,,:45,,,,Thaddeus Ross,Male,Caucasian
,,,,,,,,,,,,,,,,,,,,,,,,63:00:00,,,Xu Shang-Chi,Male,Asian
,,,,,,,,,,,,,,,,,,,,,,,,31:15:00,,,Katy Chen,Female,Asian
,,,,,,,,,,,,,,,,,,,,,,,,3:30,,,Soo,Female,Asian
,,,,,,,,,,,,,,,,,,,,,,,,27:00:00,,,Xu Wenwu,Male,Asian
,,,,,,,,,,,,,,,,,,,,,,,41:00:00,,,,Yelena Belova,Female,Caucasian
,,,,,,,,,,,,,,,,,,,,,,,24:15:00,,,,Alexei Shostakov,Male,Caucasian
,,,,,,,,,,,,,,,,,,,,,,,20:45,,,,Melina Vostkoff,Female,Caucasian
,,,,,,,,,,,,,,,,,,,,,,,10:15,,,,General Viktor Dreykov,Male,Caucasian
,,,,,,,,,,,,,,,,,,,,,,,9:30,,,,Taskmaster,Male,Caucasian
