Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,The Avengers,Iron Man 3,Thor: The Dark World,Captain America: The Winter Soldier,Guardians of the Galaxy,Avengers: Age of Ultron,Ant-Man,Captain America: Civil War,Doctor Strange,Guardians of the Galaxy Vol. 2,Spider-Man: Homecoming,Thor: Ragnarok,Black Panther,Avengers: Infinity War,Ant-Man and the Wasp,Captain Marvel,Avengers: End Game,Spider-Man: Far From Home,Black Widow,Shang-Chi and the Legend of the Ten Rings,Eternals,Spider-Man: No Way Home,character_name,gender
,,,,,,,,,,,,,,,,14:15,,,,,2:15,,,,,,Valkyrie,Female
,,,,,,,,,,,,,,,,12:30,,,,,,,,,,,Hela,Female
,,,,,,,,,,,,,,,,6:45,,,,,,,,,,,Skurge,Male
,,,,,,,,,,,,,,,,5:30,,,,,,,,,,,The Grandmaster,Male
,,,,,,,,,,,,,,,,4:00,,,,,1:00,,,,,,Korg,Male
,,,,,,,,,,,,,,,,3:00,,,,,,,,,,,Surtur,Male
,,,,,,,,,,,,,,,,2:00,,,,,,,,,,,Topaz,Female
,,,,,,,,,,,,,,,,1:45,,,,,,,,,,,Fenriswolf,Male
,,,,,,,,,,,,,,,,1:30,,,,,:30,,,,,,Miek,Male
,,,,,,,,,,,,,,,,,48:00:00,3:30,,,1:45,,,,,,Black Panther,Male
,,,,,,,,,,,,,,,,,22:15,,,,,,,,,,"Erik ""Killmonger"" Stevens",Male
,,,,,,,,,,,,,,,,,16:45,,,,,,,,,,Nakia,Female
,,,,,,,,,,,,,,,,,14:30,:45,,,1:15,,,,,,Princess Shuri,Female
,,,,,,,,,,,,,,,,,12:45,2:45,,,1:45,,,,,,Okoye,Female
,,,,,,,,,,,,,,,,,12:00,,,,,,,,,,Agent Everett Ross,Male
,,,,,,,,,,,,,,,,,8:15,,,,,,,,,,Zuri,Female
,,,,,,,,,,,,,,,,,7:15,,,,,,,,,,W'Kabi,Male
,,,,,,,,,,,,,,,,,6:45,,,,,,,,,,Ramonda,Female
,,,,,,,,,,,,,,,,,5:45,1:00,,,:15,,,,,,M'Baku,Male
,,,,,,,,,,,,,,,,,4:15,,,,,,,,,,N'Jobu,Male
,,,,,,,,,,,,,,,,,1:00,,,,,,,,,,Xoliswa,Female
,,,,,,,,,,,,,,,,,,4:30,,,1:00,,,,,,Ebony Maw,Male
,,,,,,,,,,,,,,,,,,4:00,,,:30,,,,,,Proxima Midnight,Female
,,,,,,,,,,,,,,,,,,3:30,,,:30,,,,,,Cull Obsidian,Male
,,,,,,,,,,,,,,,,,,3:15,,,:30,,,,,,Corvus Glaive,Male
,,,,,,,,,,,,,,,,,,2:45,,,,,,,,,Eitri,Male
,,,,,,,,,,,,,,,,,,1:45,,,1:00,,,,,,The Stonekeeper,Female
,,,,,,,,,,,,,,,,,,:45,,,,,,,,,The Collector,Male
,,,,,,,,,,,,,,,,,,x:00,,,,,,,,,Cindy Moon,Female
,,,,,,,,,,,,,,,,,,x:00,,,,,,,,,Sally Avril,Female
,,,,,,,,,,,,,,,,,,,12:45,,,,,,,,Ghost,Male
,,,,,,,,,,,,,,,,,,,8:30,,,,,,,,Dr. Bill Foster,Male
,,,,,,,,,,,,,,,,,,,7:00,,,,,,,,Sonny Burch,Male
,,,,,,,,,,,,,,,,,,,5:30,,,,,,,,Agent James Woo,Male
,,,,,,,,,,,,,,,,,,,3:00,,,,,,,,Uzman,Male
,,,,,,,,,,,,,,,,,,,1:45,,,,,,,,Anitolov,Male
,,,,,,,,,,,,,,,,,,,:30,,,,,,,,Elihas Starr,Male
,,,,,,,,,,,,,,,,,,,,65:00:00,6:00,,,:15,,,Vers,Female
,,,,,,,,,,,,,,,,,,,,22:30,,,,,,,Agent Nick Fury,Male
,,,,,,,,,,,,,,,,,,,,13:45,,8:45,,,,,Talos,Male
,,,,,,,,,,,,,,,,,,,,11:45,,,,,,,Yon-Rogg,Male
,,,,,,,,,,,,,,,,,,,,11:00,,,,,,,Maria Rambeau,Female
